theta, sigma
0, 0
0.01, 0.00999983
0.02, 0.0199987
0.03, 0.0299955
0.04, 0.0399892
0.05, 0.0499789
0.06, 0.0599635
0.07, 0.0699419
0.08, 0.0799131
0.09, 0.089876
0.1, 0.0998296
0.11, 0.109773
0.12, 0.119704
0.13, 0.129624
0.14, 0.139529
0.15, 0.14942
0.16, 0.159295
0.17, 0.169153
0.18, 0.178993
0.19, 0.188814
0.2, 0.198615
0.21, 0.208395
0.22, 0.218152
0.23, 0.227886
0.24, 0.237595
0.25, 0.24728
0.26, 0.256937
0.27, 0.266567
0.28, 0.276168
0.29, 0.28574
0.3, 0.29528
0.31, 0.304789
0.32, 0.314266
0.33, 0.323708
0.34, 0.333116
0.35, 0.342488
0.36, 0.351824
0.37, 0.361122
0.38, 0.370381
0.39, 0.379601
0.4, 0.38878
0.41, 0.397918
0.42, 0.407014
0.43, 0.416067
0.44, 0.425077
0.45, 0.434041
0.46, 0.442961
0.47, 0.451834
0.48, 0.46066
0.49, 0.469438
0.5, 0.478168
0.51, 0.486848
0.52, 0.495479
0.53, 0.504059
0.54, 0.512588
0.55, 0.521066
0.56, 0.529491
0.57, 0.537863
0.58, 0.546181
0.59, 0.554446
0.6, 0.562656
0.61, 0.570811
0.62, 0.57891
0.63, 0.586954
0.64, 0.594941
0.65, 0.602871
0.66, 0.610744
0.67, 0.61856
0.68, 0.626317
0.69, 0.634017
0.7, 0.641658
0.71, 0.64924
0.72, 0.656764
0.73, 0.664228
0.74, 0.671633
0.75, 0.678978
0.76, 0.686263
0.77, 0.693489
0.78, 0.700654
0.79, 0.707759
0.8, 0.714804
0.81, 0.721789
0.82, 0.728714
0.83, 0.735578
0.84, 0.742381
0.85, 0.749124
0.86, 0.755807
0.87, 0.76243
0.88, 0.768992
0.89, 0.775494
0.9, 0.781936
0.91, 0.788318
0.92, 0.79464
0.93, 0.800902
0.94, 0.807105
0.95, 0.813248
0.96, 0.819332
0.97, 0.825357
0.98, 0.831323
0.99, 0.83723
1, 0.843079
1.01, 0.84887
1.02, 0.854602
1.03, 0.860277
1.04, 0.865895
1.05, 0.871456
1.06, 0.876959
1.07, 0.882406
1.08, 0.887797
1.09, 0.893132
1.1, 0.898412
1.11, 0.903636
1.12, 0.908805
1.13, 0.913919
1.14, 0.91898
