sigma, delta
0, 0
0.01, 0.00332225
0.02, 0.00662247
0.03, 0.00990083
0.04, 0.0131575
0.05, 0.0163927
0.06, 0.0196066
0.07, 0.0227993
0.08, 0.025971
0.09, 0.029122
0.1, 0.0322523
0.11, 0.0353622
0.12, 0.0384518
0.13, 0.0415212
0.14, 0.0445707
0.15, 0.0476004
0.16, 0.0506104
0.17, 0.053601
0.18, 0.0565722
0.19, 0.0595243
0.2, 0.0624573
0.21, 0.0653715
0.22, 0.068267
0.23, 0.0711439
0.24, 0.0740024
0.25, 0.0768426
0.26, 0.0796647
0.27, 0.0824689
0.28, 0.0852552
0.29, 0.0880238
0.3, 0.0907748
0.31, 0.0935085
0.32, 0.0962248
0.33, 0.0989241
0.34, 0.101606
0.35, 0.104272
0.36, 0.10692
0.37, 0.109552
0.38, 0.112168
0.39, 0.114767
0.4, 0.11735
0.41, 0.119917
0.42, 0.122468
0.43, 0.125003
0.44, 0.127522
0.45, 0.130026
0.46, 0.132514
0.47, 0.134987
0.48, 0.137444
0.49, 0.139887
0.5, 0.142314
0.51, 0.144727
0.52, 0.147125
0.53, 0.149508
0.54, 0.151876
0.55, 0.15423
0.56, 0.15657
0.57, 0.158896
0.58, 0.161207
0.59, 0.163504
0.6, 0.165788
0.61, 0.168057
0.62, 0.170313
0.63, 0.172556
0.64, 0.174784
0.65, 0.177
0.66, 0.179202
0.67, 0.181391
0.68, 0.183567
0.69, 0.18573
0.7, 0.18788
0.71, 0.190017
0.72, 0.192141
0.73, 0.194253
0.74, 0.196352
0.75, 0.198439
0.76, 0.200513
0.77, 0.202576
0.78, 0.204626
0.79, 0.206663
0.8, 0.208689
0.81, 0.210703
0.82, 0.212706
0.83, 0.214696
0.84, 0.216675
0.85, 0.218642
0.86, 0.220598
0.87, 0.222543
0.88, 0.224476
0.89, 0.226397
0.9, 0.228308
0.91, 0.230208
0.92, 0.232096
0.93, 0.233974
0.94, 0.235841
0.95, 0.237697
0.96, 0.239543
0.97, 0.241377
0.98, 0.243202
0.99, 0.245016
1, 0.246819
1.01, 0.248612
1.02, 0.250395
1.03, 0.252168
1.04, 0.253931
1.05, 0.255683
1.06, 0.257426
1.07, 0.259159
1.08, 0.260882
1.09, 0.262595
1.1, 0.264299
1.11, 0.265992
1.12, 0.267677
1.13, 0.269352
1.14, 0.271017
1.15, 0.272673
1.16, 0.27432
1.17, 0.275958
1.18, 0.277586
1.19, 0.279206
1.2, 0.280816
1.21, 0.282418
1.22, 0.28401
1.23, 0.285594
1.24, 0.287169
1.25, 0.288735
1.26, 0.290292
1.27, 0.291841
1.28, 0.293381
1.29, 0.294913
1.3, 0.296436
1.31, 0.297951
1.32, 0.299458
1.33, 0.300956
1.34, 0.302447
1.35, 0.303929
1.36, 0.305403
1.37, 0.306868
1.38, 0.308326
1.39, 0.309776
1.4, 0.311218
1.41, 0.312652
1.42, 0.314079
1.43, 0.315498
1.44, 0.316909
1.45, 0.318312
1.46, 0.319708
1.47, 0.321096
1.48, 0.322477
1.49, 0.32385
1.5, 0.325216
1.51, 0.326575
1.52, 0.327926
1.53, 0.32927
1.54, 0.330607
1.55, 0.331937
1.56, 0.333259
1.57, 0.334575
1.58, 0.335883
1.59, 0.337185
1.6, 0.33848
1.61, 0.339768
1.62, 0.341049
1.63, 0.342323
1.64, 0.34359
1.65, 0.344851
1.66, 0.346105
1.67, 0.347353
1.68, 0.348593
1.69, 0.349828
1.7, 0.351056
1.71, 0.352277
1.72, 0.353492
1.73, 0.354701
1.74, 0.355903
1.75, 0.357099
1.76, 0.358289
1.77, 0.359473
1.78, 0.36065
1.79, 0.361821
1.8, 0.362987
1.81, 0.364146
1.82, 0.365299
1.83, 0.366446
1.84, 0.367587
1.85, 0.368723
1.86, 0.369852
1.87, 0.370976
1.88, 0.372094
1.89, 0.373206
1.9, 0.374312
1.91, 0.375413
1.92, 0.376508
1.93, 0.377597
1.94, 0.378681
1.95, 0.379759
1.96, 0.380832
1.97, 0.381899
1.98, 0.382961
1.99, 0.384018
2, 0.385069
2.01, 0.386114
2.02, 0.387155
2.03, 0.38819
2.04, 0.38922
2.05, 0.390244
2.06, 0.391264
2.07, 0.392278
2.08, 0.393287
2.09, 0.394291
2.1, 0.39529
2.11, 0.396284
2.12, 0.397273
2.13, 0.398257
2.14, 0.399236
2.15, 0.40021
2.16, 0.40118
2.17, 0.402144
2.18, 0.403104
2.19, 0.404058
2.2, 0.405008
2.21, 0.405954
2.22, 0.406894
2.23, 0.40783
2.24, 0.408761
2.25, 0.409688
2.26, 0.41061
2.27, 0.411527
2.28, 0.41244
2.29, 0.413349
2.3, 0.414252
2.31, 0.415152
2.32, 0.416047
2.33, 0.416937
2.34, 0.417823
2.35, 0.418705
2.36, 0.419583
2.37, 0.420456
2.38, 0.421324
2.39, 0.422189
2.4, 0.423049
2.41, 0.423905
2.42, 0.424757
2.43, 0.425605
2.44, 0.426449
2.45, 0.427288
2.46, 0.428124
2.47, 0.428955
2.48, 0.429782
2.49, 0.430605
2.5, 0.431425
2.51, 0.43224
2.52, 0.433051
2.53, 0.433859
2.54, 0.434662
2.55, 0.435462
2.56, 0.436257
2.57, 0.437049
2.58, 0.437837
2.59, 0.438621
2.6, 0.439402
2.61, 0.440179
2.62, 0.440952
2.63, 0.441721
2.64, 0.442486
2.65, 0.443248
2.66, 0.444007
2.67, 0.444761
2.68, 0.445512
2.69, 0.446259
2.7, 0.447003
2.71, 0.447744
2.72, 0.44848
2.73, 0.449213
2.74, 0.449943
2.75, 0.450669
2.76, 0.451392
2.77, 0.452112
2.78, 0.452828
2.79, 0.45354
2.8, 0.454249
2.81, 0.454955
2.82, 0.455657
2.83, 0.456357
2.84, 0.457052
2.85, 0.457745
2.86, 0.458434
2.87, 0.45912
2.88, 0.459803
2.89, 0.460483
2.9, 0.461159
2.91, 0.461832
2.92, 0.462502
2.93, 0.463169
2.94, 0.463833
2.95, 0.464494
2.96, 0.465151
2.97, 0.465806
2.98, 0.466457
2.99, 0.467105
3, 0.467751
3.01, 0.468393
3.02, 0.469032
3.03, 0.469669
3.04, 0.470302
3.05, 0.470932
3.06, 0.47156
3.07, 0.472185
3.08, 0.472806
3.09, 0.473425
3.1, 0.474041
3.11, 0.474654
3.12, 0.475264
3.13, 0.475872
3.14, 0.476476
3.15, 0.477078
3.16, 0.477677
3.17, 0.478273
3.18, 0.478867
3.19, 0.479458
3.2, 0.480046
3.21, 0.480631
3.22, 0.481214
3.23, 0.481794
3.24, 0.482371
3.25, 0.482946
3.26, 0.483518
3.27, 0.484087
3.28, 0.484654
3.29, 0.485218
3.3, 0.48578
3.31, 0.486339
3.32, 0.486895
3.33, 0.487449
3.34, 0.488001
3.35, 0.48855
3.36, 0.489096
3.37, 0.48964
3.38, 0.490182
3.39, 0.49072
3.4, 0.491257
3.41, 0.491791
3.42, 0.492323
3.43, 0.492852
3.44, 0.493379
3.45, 0.493903
3.46, 0.494426
3.47, 0.494945
3.48, 0.495463
3.49, 0.495978
3.5, 0.496491
3.51, 0.497001
3.52, 0.497509
3.53, 0.498015
3.54, 0.498518
3.55, 0.49902
3.56, 0.499519
3.57, 0.500016
3.58, 0.50051
3.59, 0.501002
3.6, 0.501493
3.61, 0.501981
3.62, 0.502466
3.63, 0.50295
3.64, 0.503431
3.65, 0.50391
3.66, 0.504388
3.67, 0.504863
3.68, 0.505335
3.69, 0.505806
3.7, 0.506275
3.71, 0.506741
3.72, 0.507206
3.73, 0.507668
3.74, 0.508128
3.75, 0.508587
3.76, 0.509043
3.77, 0.509497
3.78, 0.509949
3.79, 0.5104
3.8, 0.510848
3.81, 0.511294
3.82, 0.511738
3.83, 0.51218
3.84, 0.512621
3.85, 0.513059
3.86, 0.513496
3.87, 0.51393
3.88, 0.514363
3.89, 0.514793
3.9, 0.515222
3.91, 0.515649
3.92, 0.516074
3.93, 0.516497
3.94, 0.516918
3.95, 0.517338
3.96, 0.517755
3.97, 0.518171
3.98, 0.518585
3.99, 0.518997
4, 0.519407
4.01, 0.519816
4.02, 0.520222
4.03, 0.520627
4.04, 0.52103
4.05, 0.521432
4.06, 0.521831
4.07, 0.522229
4.08, 0.522625
4.09, 0.52302
4.1, 0.523412
4.11, 0.523803
4.12, 0.524192
4.13, 0.52458
4.14, 0.524966
4.15, 0.52535
4.16, 0.525733
4.17, 0.526113
4.18, 0.526493
4.19, 0.52687
4.2, 0.527246
4.21, 0.52762
4.22, 0.527993
4.23, 0.528364
4.24, 0.528733
4.25, 0.529101
4.26, 0.529467
4.27, 0.529832
4.28, 0.530195
4.29, 0.530556
4.3, 0.530916
4.31, 0.531275
4.32, 0.531632
4.33, 0.531987
4.34, 0.532341
4.35, 0.532693
4.36, 0.533043
4.37, 0.533393
4.38, 0.53374
4.39, 0.534086
4.4, 0.534431
4.41, 0.534774
4.42, 0.535116
4.43, 0.535456
4.44, 0.535795
4.45, 0.536133
4.46, 0.536468
4.47, 0.536803
4.48, 0.537136
4.49, 0.537467
4.5, 0.537798
4.51, 0.538126
4.52, 0.538454
4.53, 0.53878
4.54, 0.539104
4.55, 0.539427
4.56, 0.539749
4.57, 0.54007
4.58, 0.540389
4.59, 0.540706
4.6, 0.541023
4.61, 0.541338
4.62, 0.541651
4.63, 0.541964
4.64, 0.542275
4.65, 0.542584
4.66, 0.542892
4.67, 0.5432
4.68, 0.543505
4.69, 0.54381
4.7, 0.544113
4.71, 0.544415
4.72, 0.544715
4.73, 0.545014
4.74, 0.545312
4.75, 0.545609
4.76, 0.545905
4.77, 0.546199
4.78, 0.546492
4.79, 0.546784
4.8, 0.547074
4.81, 0.547363
4.82, 0.547651
4.83, 0.547938
4.84, 0.548224
4.85, 0.548508
4.86, 0.548791
4.87, 0.549073
4.88, 0.549354
4.89, 0.549634
4.9, 0.549912
4.91, 0.55019
4.92, 0.550466
4.93, 0.550741
4.94, 0.551015
4.95, 0.551287
4.96, 0.551559
4.97, 0.551829
4.98, 0.552098
4.99, 0.552366
5, 0.552633
5.01, 0.552899
5.02, 0.553164
5.03, 0.553428
5.04, 0.55369
5.05, 0.553952
5.06, 0.554212
5.07, 0.554471
5.08, 0.554729
5.09, 0.554986
5.1, 0.555242
5.11, 0.555497
5.12, 0.555751
5.13, 0.556004
5.14, 0.556256
5.15, 0.556506
5.16, 0.556756
5.17, 0.557005
5.18, 0.557252
5.19, 0.557499
5.2, 0.557744
5.21, 0.557989
5.22, 0.558232
5.23, 0.558475
5.24, 0.558716
5.25, 0.558956
5.26, 0.559196
5.27, 0.559434
5.28, 0.559672
5.29, 0.559908
5.3, 0.560144
5.31, 0.560378
5.32, 0.560612
5.33, 0.560844
5.34, 0.561076
5.35, 0.561306
5.36, 0.561536
5.37, 0.561765
5.38, 0.561992
5.39, 0.562219
5.4, 0.562445
5.41, 0.56267
5.42, 0.562894
5.43, 0.563117
5.44, 0.563339
5.45, 0.563561
5.46, 0.563781
5.47, 0.564
5.48, 0.564219
5.49, 0.564436
5.5, 0.564653
5.51, 0.564869
5.52, 0.565084
5.53, 0.565298
5.54, 0.565511
5.55, 0.565723
5.56, 0.565935
5.57, 0.566145
5.58, 0.566355
5.59, 0.566564
5.6, 0.566772
5.61, 0.566979
5.62, 0.567185
5.63, 0.56739
5.64, 0.567595
5.65, 0.567799
5.66, 0.568001
5.67, 0.568203
5.68, 0.568405
5.69, 0.568605
5.7, 0.568805
5.71, 0.569003
5.72, 0.569201
5.73, 0.569398
5.74, 0.569595
5.75, 0.56979
5.76, 0.569985
5.77, 0.570179
5.78, 0.570372
5.79, 0.570564
5.8, 0.570756
5.81, 0.570946
5.82, 0.571136
5.83, 0.571325
5.84, 0.571514
5.85, 0.571701
5.86, 0.571888
5.87, 0.572074
5.88, 0.57226
5.89, 0.572444
5.9, 0.572628
5.91, 0.572811
5.92, 0.572994
5.93, 0.573175
5.94, 0.573356
5.95, 0.573536
5.96, 0.573716
5.97, 0.573894
5.98, 0.574072
5.99, 0.574249
6, 0.574426
6.01, 0.574602
6.02, 0.574777
6.03, 0.574951
6.04, 0.575124
6.05, 0.575297
6.06, 0.57547
6.07, 0.575641
6.08, 0.575812
6.09, 0.575982
6.1, 0.576151
6.11, 0.57632
6.12, 0.576488
6.13, 0.576656
6.14, 0.576822
6.15, 0.576988
6.16, 0.577154
6.17, 0.577318
6.18, 0.577482
6.19, 0.577646
6.2, 0.577808
6.21, 0.57797
6.22, 0.578132
6.23, 0.578292
6.24, 0.578452
6.25, 0.578612
6.26, 0.578771
6.27, 0.578929
6.28, 0.579086
6.29, 0.579243
6.3, 0.579399
6.31, 0.579555
6.32, 0.57971
6.33, 0.579864
6.34, 0.580018
6.35, 0.580171
6.36, 0.580323
6.37, 0.580475
6.38, 0.580626
6.39, 0.580777
6.4, 0.580927
6.41, 0.581076
6.42, 0.581225
6.43, 0.581374
6.44, 0.581521
6.45, 0.581668
6.46, 0.581815
6.47, 0.58196
6.48, 0.582106
6.49, 0.58225
6.5, 0.582394
6.51, 0.582538
6.52, 0.582681
6.53, 0.582823
6.54, 0.582965
6.55, 0.583106
6.56, 0.583247
6.57, 0.583387
6.58, 0.583526
6.59, 0.583665
6.6, 0.583804
6.61, 0.583942
6.62, 0.584079
6.63, 0.584216
6.64, 0.584352
6.65, 0.584487
6.66, 0.584622
6.67, 0.584757
6.68, 0.584891
6.69, 0.585024
6.7, 0.585157
6.71, 0.58529
6.72, 0.585422
6.73, 0.585553
6.74, 0.585684
6.75, 0.585814
6.76, 0.585944
6.77, 0.586073
6.78, 0.586202
6.79, 0.58633
6.8, 0.586458
6.81, 0.586585
6.82, 0.586712
6.83, 0.586838
6.84, 0.586964
6.85, 0.587089
6.86, 0.587213
6.87, 0.587338
6.88, 0.587461
6.89, 0.587585
6.9, 0.587707
6.91, 0.587829
6.92, 0.587951
6.93, 0.588072
6.94, 0.588193
6.95, 0.588313
6.96, 0.588433
6.97, 0.588552
6.98, 0.588671
6.99, 0.58879
7, 0.588908
7.01, 0.589025
7.02, 0.589142
7.03, 0.589258
7.04, 0.589374
7.05, 0.58949
7.06, 0.589605
7.07, 0.58972
7.08, 0.589834
7.09, 0.589948
7.1, 0.590061
7.11, 0.590174
7.12, 0.590286
7.13, 0.590398
7.14, 0.59051
7.15, 0.590621
7.16, 0.590731
7.17, 0.590841
7.18, 0.590951
7.19, 0.59106
7.2, 0.591169
7.21, 0.591278
7.22, 0.591386
7.23, 0.591493
7.24, 0.5916
7.25, 0.591707
7.26, 0.591813
7.27, 0.591919
7.28, 0.592025
7.29, 0.59213
7.3, 0.592234
7.31, 0.592338
7.32, 0.592442
7.33, 0.592546
7.34, 0.592649
7.35, 0.592751
7.36, 0.592853
7.37, 0.592955
7.38, 0.593056
7.39, 0.593157
7.4, 0.593258
7.41, 0.593358
7.42, 0.593458
7.43, 0.593557
7.44, 0.593656
7.45, 0.593755
7.46, 0.593853
7.47, 0.593951
7.48, 0.594048
7.49, 0.594145
7.5, 0.594242
7.51, 0.594338
7.52, 0.594434
7.53, 0.594529
7.54, 0.594624
7.55, 0.594719
7.56, 0.594813
7.57, 0.594907
7.58, 0.595001
7.59, 0.595094
7.6, 0.595187
7.61, 0.59528
7.62, 0.595372
7.63, 0.595464
7.64, 0.595555
7.65, 0.595646
7.66, 0.595737
7.67, 0.595827
7.68, 0.595917
7.69, 0.596007
7.7, 0.596096
7.71, 0.596185
7.72, 0.596274
7.73, 0.596362
7.74, 0.59645
7.75, 0.596537
7.76, 0.596624
7.77, 0.596711
7.78, 0.596798
7.79, 0.596884
7.8, 0.59697
7.81, 0.597055
7.82, 0.59714
7.83, 0.597225
7.84, 0.59731
7.85, 0.597394
7.86, 0.597478
7.87, 0.597561
7.88, 0.597644
7.89, 0.597727
7.9, 0.59781
7.91, 0.597892
7.92, 0.597974
7.93, 0.598055
7.94, 0.598136
7.95, 0.598217
7.96, 0.598298
7.97, 0.598378
7.98, 0.598458
7.99, 0.598538
8, 0.598617
8.01, 0.598696
8.02, 0.598775
8.03, 0.598853
8.04, 0.598931
8.05, 0.599009
8.06, 0.599086
8.07, 0.599164
8.08, 0.59924
8.09, 0.599317
8.1, 0.599393
8.11, 0.599469
8.12, 0.599545
8.13, 0.59962
8.14, 0.599695
8.15, 0.59977
8.16, 0.599845
8.17, 0.599919
8.18, 0.599993
8.19, 0.600066
8.2, 0.60014
8.21, 0.600213
8.22, 0.600285
8.23, 0.600358
8.24, 0.60043
8.25, 0.600502
8.26, 0.600574
8.27, 0.600645
8.28, 0.600716
8.29, 0.600787
8.3, 0.600857
8.31, 0.600928
8.32, 0.600997
8.33, 0.601067
8.34, 0.601137
8.35, 0.601206
8.36, 0.601275
8.37, 0.601343
8.38, 0.601412
8.39, 0.60148
8.4, 0.601547
8.41, 0.601615
8.42, 0.601682
8.43, 0.601749
8.44, 0.601816
8.45, 0.601882
8.46, 0.601949
8.47, 0.602015
8.48, 0.60208
8.49, 0.602146
8.5, 0.602211
8.51, 0.602276
8.52, 0.602341
8.53, 0.602405
8.54, 0.602469
8.55, 0.602533
8.56, 0.602597
8.57, 0.60266
8.58, 0.602723
8.59, 0.602786
8.6, 0.602849
8.61, 0.602911
8.62, 0.602974
8.63, 0.603036
8.64, 0.603097
8.65, 0.603159
8.66, 0.60322
8.67, 0.603281
8.68, 0.603342
8.69, 0.603402
8.7, 0.603463
8.71, 0.603523
8.72, 0.603582
8.73, 0.603642
8.74, 0.603701
8.75, 0.603761
8.76, 0.603819
8.77, 0.603878
8.78, 0.603937
8.79, 0.603995
8.8, 0.604053
8.81, 0.60411
8.82, 0.604168
8.83, 0.604225
8.84, 0.604282
8.85, 0.604339
8.86, 0.604396
8.87, 0.604452
8.88, 0.604508
8.89, 0.604564
8.9, 0.60462
8.91, 0.604676
8.92, 0.604731
8.93, 0.604786
8.94, 0.604841
8.95, 0.604896
8.96, 0.60495
8.97, 0.605005
8.98, 0.605059
8.99, 0.605112
9, 0.605166
9.01, 0.605219
9.02, 0.605273
9.03, 0.605326
9.04, 0.605379
9.05, 0.605431
9.06, 0.605484
9.07, 0.605536
9.08, 0.605588
9.09, 0.605639
9.1, 0.605691
9.11, 0.605742
9.12, 0.605794
9.13, 0.605845
9.14, 0.605895
9.15, 0.605946
9.16, 0.605996
9.17, 0.606047
9.18, 0.606097
9.19, 0.606146
9.2, 0.606196
9.21, 0.606245
9.22, 0.606295
9.23, 0.606344
9.24, 0.606393
9.25, 0.606441
9.26, 0.60649
9.27, 0.606538
9.28, 0.606586
9.29, 0.606634
9.3, 0.606682
9.31, 0.606729
9.32, 0.606777
9.33, 0.606824
9.34, 0.606871
9.35, 0.606918
9.36, 0.606964
9.37, 0.607011
9.38, 0.607057
9.39, 0.607103
9.4, 0.607149
9.41, 0.607195
9.42, 0.60724
9.43, 0.607286
9.44, 0.607331
9.45, 0.607376
9.46, 0.607421
9.47, 0.607465
9.48, 0.60751
9.49, 0.607554
9.5, 0.607598
9.51, 0.607642
9.52, 0.607686
9.53, 0.60773
9.54, 0.607773
9.55, 0.607816
9.56, 0.60786
9.57, 0.607903
9.58, 0.607945
9.59, 0.607988
9.6, 0.608031
9.61, 0.608073
9.62, 0.608115
9.63, 0.608157
9.64, 0.608199
9.65, 0.60824
9.66, 0.608282
9.67, 0.608323
9.68, 0.608364
9.69, 0.608406
9.7, 0.608446
9.71, 0.608487
9.72, 0.608528
9.73, 0.608568
9.74, 0.608608
9.75, 0.608648
9.76, 0.608688
9.77, 0.608728
9.78, 0.608768
9.79, 0.608807
