mu,G, G',F,F',F''
0,0,0,0,0,0
0,1,-0.534787,0,0,0.332057
0.1,0.946523,-0.534728,0.00166029,0.0332055,0.332048
0.2,0.893066,-0.534314,0.006641,0.0664077,0.331984
0.3,0.839684,-0.533191,0.0149415,0.0995985,0.331809
0.4,0.786463,-0.531012,0.0265599,0.132764,0.33147
0.5,0.733528,-0.52744,0.0414928,0.165885,0.330911
0.6,0.681032,-0.522157,0.0597346,0.198937,0.330079
0.7,0.629163,-0.514874,0.0812769,0.23189,0.328922
0.8,0.578133,-0.505343,0.106108,0.264709,0.327389
0.9,0.528176,-0.49337,0.134213,0.297354,0.325432
1,0.479544,-0.478825,0.165572,0.32978,0.323007
1.1,0.432499,-0.461654,0.20016,0.361938,0.320071
1.2,0.3873,-0.441889,0.237949,0.393776,0.316589
1.3,0.344203,-0.419652,0.278903,0.425237,0.312529
1.4,0.303445,-0.39516,0.322981,0.456261,0.307865
1.5,0.265237,-0.368717,0.370138,0.486789,0.30258
1.6,0.229754,-0.34071,0.42032,0.516756,0.296663
1.7,0.197132,-0.311595,0.473469,0.5461,0.290111
1.8,0.167455,-0.281872,0.529518,0.574758,0.282931
1.9,0.14076,-0.25207,0.588395,0.602666,0.275136
2,0.117026,-0.222719,0.650024,0.629765,0.266751
2.1,0.0961843,-0.194323,0.714319,0.655998,0.257809
2.2,0.0781148,-0.167338,0.781193,0.68131,0.248351
2.3,0.0626569,-0.14215,0.850549,0.705652,0.238426
2.4,0.049615,-0.119061,0.922289,0.728981,0.228092
2.5,0.0387679,-0.0982797,0.99631,0.751259,0.217411
2.6,0.0298786,-0.0799159,1.07251,0.772454,0.206455
2.7,0.0227037,-0.0639875,1.15076,0.792543,0.195294
2.8,0.0170023,-0.0504283,1.23098,0.811509,0.184007
2.9,0.0125438,-0.0391027,1.31303,0.829343,0.172669
3,0.00911387,-0.0298222,1.39681,0.846044,0.16136
3.1,0.00651896,-0.0223628,1.4822,0.861618,0.150155
3.2,0.00458897,-0.0164829,1.56909,0.876081,0.139128
3.3,0.00317818,-0.0119381,1.65738,0.889452,0.128347
3.4,0.00216495,-0.0084941,1.74695,0.90176,0.117876
3.5,0.00145012,-0.00593575,1.8377,0.91304,0.107773
3.6,0.000954857,-0.00407298,1.92952,0.923329,0.0980863
3.7,0.000617952,-0.00274372,2.02233,0.932672,0.0888594
3.8,0.000392972,-0.00181418,2.11603,0.941117,0.080126
3.9,0.000245514,-0.00117724,2.21053,0.948715,0.0719118
4,0.000150668,-0.0007496,2.30574,0.955517,0.0642342
4.1,9.08105e-05,-0.000468296,2.40161,0.96158,0.0571029
4.2,5.37477e-05,-0.000287005,2.49804,0.966956,0.0505199
4.3,3.12355e-05,-0.000172542,2.59498,0.971702,0.0444802
4.4,1.78224e-05,-0.000101743,2.69236,0.97587,0.0389727
4.5,9.98405e-06,-5.88421e-05,2.79013,0.979514,0.033981
4.6,5.49148e-06,-3.33752e-05,2.88825,0.982683,0.0294839
4.7,2.96621e-06,-1.8565e-05,2.98665,0.985426,0.0254566
4.8,1.57416e-06,-1.01272e-05,3.08532,0.987789,0.0218713
4.9,8.21647e-07,-5.41754e-06,3.1842,0.989814,0.0186984
5,4.22721e-07,-2.84202e-06,3.28327,0.991541,0.0159069
5.1,2.15336e-07,-1.46207e-06,3.3825,0.993007,0.0134652
5.2,1.0961e-07,-7.37622e-07,3.48186,0.994245,0.0113419
5.3,5.67531e-08,-3.64948e-07,3.58134,0.995285,0.00950604
5.4,3.0838e-08,-1.77083e-07,3.68092,0.996155,0.00792778
5.5,1.8377e-08,-8.42738e-08,3.78057,0.996878,0.00657871
5.6,1.25005e-08,-3.93367e-08,3.88029,0.997477,0.00543207
5.7,9.78237e-09,-1.80104e-08,3.98006,0.99797,0.00446297
5.8,8.54916e-09,-8.08911e-09,4.07988,0.998375,0.00364851
5.9,8.00031e-09,-3.56423e-09,4.17973,0.998705,0.00296783
6,7.76067e-09,-1.54085e-09,4.27962,0.998972,0.00240212
6.1,7.65802e-09,-6.5363e-10,4.37953,0.999188,0.00193456
6.2,7.61487e-09,-2.72101e-10,4.47945,0.999362,0.00155024
6.3,7.59707e-09,-1.11177e-10,4.5794,0.999501,0.00123608
6.4,7.58987e-09,-4.45907e-11,4.67935,0.999611,0.000980672
6.5,7.587e-09,-1.75587e-11,4.77932,0.999698,0.00077416
6.6,7.58589e-09,-6.78936e-12,4.87929,0.999767,0.000608089
6.7,7.58546e-09,-2.57833e-12,4.97927,0.999821,0.000475262
6.8,7.5853e-09,-9.61855e-13,5.07926,0.999863,0.000369597
6.9,7.58524e-09,-3.52564e-13,5.17924,0.999896,0.000285992
7,7.58522e-09,-1.27007e-13,5.27923,0.999921,0.000220195
7.1,7.58521e-09,-4.49772e-14,5.37923,0.99994,0.000168691
7.2,7.58521e-09,-1.56622e-14,5.47922,0.999955,0.000128589
7.3,7.5852e-09,-5.3646e-15,5.57922,0.999966,9.75316e-05
7.4,7.5852e-09,-1.80796e-15,5.67922,0.999975,7.36066e-05
7.5,7.5852e-09,-5.9973e-16,5.77921,0.999981,5.52735e-05
7.6,7.5852e-09,-1.95884e-16,5.87921,0.999986,4.12997e-05
7.7,7.5852e-09,-6.3022e-17,5.97921,0.99999,3.07048e-05
