mu, horizontal velocity, vertical velocity
0,0,0
0,0,0
0.1,0.0332055,0.000830131
0.2,0.0664077,0.00332027
0.3,0.0995985,0.00746904
0.4,0.132764,0.0132729
0.5,0.165885,0.0207249
0.6,0.198937,0.0298138
0.7,0.23189,0.040523
0.8,0.264709,0.0528295
0.9,0.297354,0.0667027
1,0.32978,0.082104
1.1,0.361938,0.0989859
1.2,0.393776,0.117291
1.3,0.425237,0.136952
1.4,0.456261,0.157892
1.5,0.486789,0.180022
1.6,0.516756,0.203245
1.7,0.5461,0.227451
1.8,0.574758,0.252523
1.9,0.602666,0.278335
2,0.629765,0.304753
2.1,0.655998,0.331638
2.2,0.68131,0.358844
2.3,0.705652,0.386226
2.4,0.728981,0.413633
2.5,0.751259,0.440919
2.6,0.772454,0.467938
2.7,0.792543,0.494551
2.8,0.811509,0.520624
2.9,0.829343,0.546033
3,0.846044,0.570662
3.1,0.861618,0.594409
3.2,0.876081,0.617182
3.3,0.889452,0.638906
3.4,0.90176,0.659518
3.5,0.91304,0.678971
3.6,0.923329,0.69723
3.7,0.932672,0.714278
3.8,0.941117,0.730109
3.9,0.948715,0.74473
4,0.955517,0.758163
4.1,0.96158,0.770436
4.2,0.966956,0.781589
4.3,0.971702,0.791671
4.4,0.97587,0.800735
4.5,0.979514,0.808839
4.6,0.982683,0.816047
4.7,0.985426,0.822424
4.8,0.987789,0.828034
4.9,0.989814,0.832944
5,0.991541,0.837217
5.1,0.993007,0.840918
5.2,0.994245,0.844104
5.3,0.995285,0.846834
5.4,0.996155,0.849159
5.5,0.996878,0.85113
5.6,0.997477,0.852792
5.7,0.99797,0.854185
5.8,0.998375,0.855347
5.9,0.998705,0.856312
6,0.998972,0.857108
6.1,0.999188,0.857761
6.2,0.999362,0.858295
6.3,0.999501,0.858728
6.4,0.999611,0.859079
6.5,0.999698,0.85936
6.6,0.999767,0.859586
6.7,0.999821,0.859765
6.8,0.999863,0.859907
6.9,0.999896,0.860018
7,0.999921,0.860106
7.1,0.99994,0.860174
7.2,0.999955,0.860227
7.3,0.999966,0.860268
7.4,0.999975,0.860299
7.5,0.999981,0.860323
7.6,0.999986,0.860341
7.7,0.99999,0.860354
7.8,0.999992,0.860365
7.9,0.999994,0.860372
8,0.999996,0.860378
8.1,0.999997,0.860382
8.2,0.999997,0.860385
8.3,0.999998,0.860388
8.4,0.999998,0.860389
8.5,0.999999,0.86039
8.6,0.999999,0.860391
8.7,0.999999,0.860392
8.8,0.999999,0.860392
8.9,0.999999,0.860393
9,0.999999,0.860393
9.1,0.999999,0.860393
9.2,0.999999,0.860393
9.3,0.999999,0.860393
9.4,0.999999,0.860393
9.5,0.999999,0.860393
9.6,0.999999,0.860393
9.7,0.999999,0.860393
9.8,0.999999,0.860393
9.9,0.999999,0.860393
10,0.999999,0.860393
10.1,0.999999,0.860393
